"gene","variance","is_hvg"
"MSMB",1.71974694652152,TRUE
"IGLV2-14",1.7182446053843,TRUE
"BMS1P20",1.68831194789494,TRUE
"IGLJ2",1.68831194789494,TRUE
"IGLV3-19",1.68831194789494,TRUE
"KRT6B",1.68750140118349,TRUE
"NTS",1.67660205380645,TRUE
"CCL19",1.67223003413766,TRUE
"CXCL11",1.67182293780617,TRUE
"GATA3",1.66754798439842,TRUE
"SERHL",1.65715531340753,TRUE
"SFRP4",1.65442520794457,TRUE
"IGLC7",1.64958038237039,TRUE
"IGLL5",1.64958038237039,TRUE
"TPSAB1",1.63411824441224,TRUE
"TPSB2",1.63411824441224,TRUE
"CST1",1.62258264564791,TRUE
"DCPH1",1.62241156998358,TRUE
"EGFR",1.60984402282998,TRUE
"CYP4F8",1.60281482451814,TRUE
"GFRA1",1.59925491957915,TRUE
"GABBR1",1.58609697737316,TRUE
"UBD",1.58609697737316,TRUE
"ACOX2",1.58001443079417,TRUE
"MMP9",1.56649961052097,TRUE
"DIO1",1.56239863217536,TRUE
"GALNT3",1.55677120952109,TRUE
"KCNK1",1.55580776338851,TRUE
"CILP",1.55437633578568,TRUE
"MGP",1.53952272249306,TRUE
"CHI3L1",1.53910562775302,TRUE
"NTRK2",1.52884285745756,TRUE
"PLAT",1.52859236246291,TRUE
"ELOVL2",1.52827370652561,TRUE
"GSTM3",1.52540893298542,TRUE
"IGLV3-10",1.52183005539654,TRUE
"MMP11",1.51088844901707,TRUE
"CD36",1.51087250658693,TRUE
"CX3CR1",1.50500276777131,TRUE
"IGKV1OR2-108",1.5026099831458,TRUE
"PEG3",1.49637149298313,TRUE
"IFIT1",1.48409079471442,TRUE
"TSPAN8",1.47978546255946,TRUE
"HPGD",1.46972177662534,TRUE
"EN1",1.4671490571261,TRUE
"PAPSS2",1.46542405436306,TRUE
"GALNT6",1.46439171230839,TRUE
"KIF5C",1.46409249962939,TRUE
"IGF2",1.46035578411576,TRUE
"INS-IGF2",1.46035578411576,TRUE
"TSPYL5",1.45907621974006,TRUE
"DACH1",1.45354060390849,TRUE
"IGHD",1.4352763739031,TRUE
"RBP4",1.43242745721201,TRUE
"IFI44L",1.43222376229447,TRUE
"H2AC18",1.43170047368269,TRUE
"H2AC19",1.43170047368269,TRUE
"MUC5B",1.42938894299142,TRUE
"PON3",1.42434849093912,TRUE
"IFI27",1.42016202991171,TRUE
"REEP1",1.41844636572252,TRUE
"IGHV3-21",1.4116189929519,TRUE
"IGHV3-48",1.4116189929519,TRUE
"IGHV3-71",1.4116189929519,TRUE
"LRRC15",1.41012209879663,TRUE
"MAOB",1.40992349959071,TRUE
"PLAAT4",1.40865296534985,TRUE
"WIF1",1.4043000819267,TRUE
"MYB",1.40329862667513,TRUE
"MMP12",1.40224450312846,TRUE
"EHF",1.3984637011977,TRUE
"TGFBR3",1.39682877215816,TRUE
"CEACAM5",1.39492612851334,TRUE
"LRRC17",1.39417939726569,TRUE
"SCNN1A",1.38414657390592,TRUE
"ALOX15B",1.37669116696497,TRUE
"HSPA2",1.37523568166301,TRUE
"ERBB4",1.37321848832277,TRUE
"WFDC2",1.37309437466293,TRUE
"IGK",1.37015748354936,TRUE
"IGKC",1.37015748354936,TRUE
"IGKV1-5",1.37015748354936,TRUE
"IGKV2-24",1.37015748354936,TRUE
"GBP1",1.36149249512863,TRUE
"CDC42",1.36099772784114,TRUE
"BEX1",1.36072093354647,TRUE
"CLGN",1.35603938270044,TRUE
"DENND1B",1.35403760932424,TRUE
"IGKV1D-13",1.34212015068213,TRUE
"GDF15",1.34040684169215,TRUE
"SERPINB5",1.33939333541676,TRUE
"GREM1",1.33676034563982,TRUE
"MRPS30",1.33617866956996,TRUE
"KCNE4",1.33531982623325,TRUE
"TMPRSS3",1.3334725587801,TRUE
"IGFBP2",1.3269804591628,TRUE
"DSP",1.32298368203046,TRUE
"PHLDA2",1.32274999597546,TRUE
"ACKR1",1.32074547490168,TRUE
"AGL",1.31932985470209,TRUE
"OGN",1.31007031399512,TRUE
"LOX",1.30816510583258,TRUE
"CLDN8",1.30465222709833,TRUE
"GHR",1.30424250825693,TRUE
"ADIRF",1.29963087054246,TRUE
"EFEMP1",1.29815317099795,TRUE
"S100A2",1.29346417980148,TRUE
"MX1",1.29153783200274,TRUE
"MATN2",1.28367660224794,TRUE
"CXCL12",1.28277805079778,TRUE
"NFIB",1.28130911528393,TRUE
"ME1",1.28092078562861,TRUE
"CNTNAP2",1.27473729511516,TRUE
"H1-2",1.27067568678492,TRUE
"DUSP1",1.27021431135915,TRUE
"AMIGO2",1.27015692018774,TRUE
"PLIN1",1.26895330138424,TRUE
"FOSB",1.26709169034902,TRUE
"DKK1",1.26694557846768,TRUE
"PLOD2",1.26594682694346,TRUE
"HOXC10",1.26020743492956,TRUE
"SERPINA6",1.25339112529788,TRUE
"NRIP3",1.25306692987984,TRUE
"DCLK1",1.24752640237002,TRUE
"KIT",1.23675094910875,TRUE
"FBLN1",1.23631082863927,TRUE
"CXCL10",1.23446361767594,TRUE
"INSM1",1.23423924765769,TRUE
"CCND1",1.23371607015602,TRUE
"RRM2",1.22492217254649,TRUE
"AKR1C3",1.22355750205691,TRUE
"FMO2",1.22328271650181,TRUE
"SRPX",1.22249067868913,TRUE
"FGG",1.21976692631242,TRUE
"MFAP5",1.21861585719167,TRUE
"SYNM",1.21839906050259,TRUE
"ANPEP",1.21817012378246,TRUE
"LPL",1.21621147040246,TRUE
"FBN1",1.21086311476226,TRUE
"GASK1B",1.20908834514737,TRUE
"HSPB8",1.20856221864682,TRUE
"MYBL1",1.20849189863527,TRUE
"TACSTD2",1.20771917932281,TRUE
"IFI6",1.20367294257464,TRUE
"FOXA1",1.20288832118228,TRUE
"CDH11",1.2021292010007,TRUE
"SERHL2",1.19927322557116,TRUE
"NELL2",1.19914900308838,TRUE
"SLC16A6",1.19547663463783,TRUE
"PSD3",1.1948806588593,TRUE
"TMEM45A",1.19388531791781,TRUE
"BMPR1B",1.19165907877865,TRUE
"IGKV1OR1-1",1.18258450661462,TRUE
"IGKV1OR2-118",1.18258450661462,TRUE
"ERAP2",1.18105254064998,TRUE
"TRBC2",1.17859487522196,TRUE
"TRBV3-1",1.17859487522196,TRUE
"TRBV5-4",1.17859487522196,TRUE
"TRBV6-5",1.17859487522196,TRUE
"TRBV7-2",1.17859487522196,TRUE
"AKR1C2",1.17665672567484,TRUE
"CRABP2",1.17376603727755,TRUE
"PPP1R3C",1.17373950927011,TRUE
"COL4A5",1.16996193120141,TRUE
"TMEM47",1.1692077784077,TRUE
"POSTN",1.16831908450805,TRUE
"TOP2A",1.16454753033142,TRUE
"ATP1B1",1.16335602385517,TRUE
"HOXB6",1.16287615366022,TRUE
"HBB",1.16143638302139,TRUE
"PLAGL1",1.16134431969861,TRUE
"ASS1",1.15582673710534,TRUE
"ABCA8",1.15477785182395,TRUE
"TMSB15A",1.1531416739448,TRUE
"AKR1C1",1.14997744468756,TRUE
"IGFBP5",1.14995188086048,TRUE
"THBS2",1.14701585713854,TRUE
"IGLV@",1.14636735246531,TRUE
"PTHLH",1.14587764573671,TRUE
"TM4SF1",1.14370996120919,TRUE
"SLC39A6",1.14043534920478,TRUE
"RTN1",1.13794934678272,TRUE
"ERBB2",1.1366253312695,TRUE
"TNC",1.13027766643259,TRUE
"NIBAN1",1.12847475271903,TRUE
"SEMA3C",1.12796739817645,TRUE
"VCAN",1.12664782775613,TRUE
"GALNT7",1.12637545295242,TRUE
"SLC44A4",1.11932291393011,TRUE
"CDC20",1.1148581035627,TRUE
"CXADR",1.11138917579336,TRUE
"CP",1.11117331342672,TRUE
"LRP2",1.11069291145688,TRUE
"STC1",1.1101025923381,TRUE
"FABP5",1.10776710965618,TRUE
"GGH",1.10717131111724,TRUE
"RASGRP1",1.10396173645648,TRUE
"CHRDL1",1.09704457691739,TRUE
"RGS2",1.09673054294305,TRUE
"EPYC",1.09498246926744,TRUE
"INHBA",1.09279859483125,TRUE
"NKX3-1",1.09241241660428,TRUE
"TBX3",1.08787046599393,TRUE
"AHNAK2",1.08738128570674,TRUE
"UGCG",1.08130243965601,TRUE
"PRAME",1.08096210825706,TRUE
"KLF4",1.0808581729456,TRUE
"FHL1",1.07958040274024,TRUE
"TNFSF10",1.07913599519715,TRUE
"TNNT1",1.0786796709533,TRUE
"CYBRD1",1.07843312975442,TRUE
"COL5A1",1.07719348397886,TRUE
"WNT5A",1.07181355204722,TRUE
"PDGFRL",1.06826936791405,TRUE
"BRINP3",1.06736840954262,TRUE
"SLC7A5",1.06673209990587,TRUE
"FCGR3A",1.06627986234178,TRUE
"FLRT3",1.06488851126171,TRUE
"RAB11FIP1",1.05757361081774,TRUE
"ITPR1",1.05559512714629,TRUE
"PMAIP1",1.05493055495654,TRUE
"FMO5",1.05449419699945,TRUE
"GAS1",1.05348314409672,TRUE
"CYP2A6",1.05294764904514,TRUE
"LYZ",1.05064206912668,TRUE
"DCN",1.04701840355979,TRUE
"NR4A2",1.04618615963774,TRUE
"ENPP2",1.04576744946592,TRUE
"SCD",1.04534079360284,TRUE
"CYP1B1",1.04073359854487,TRUE
"SERPINA5",1.03873130011952,TRUE
"PRKACB",1.03672051991898,TRUE
"BST2",1.03609469267538,TRUE
"HLA-DQA1",1.03045490242619,TRUE
"HLA-DQA2",1.03045490242619,TRUE
"SLC19A2",1.03019107852238,TRUE
"POU2AF1",1.02979627435445,TRUE
"S100A14",1.02577490226633,TRUE
"PDZRN3",1.02495235230465,TRUE
"TTC39A",1.02373359129021,TRUE
"CRYAB",1.02182862346311,TRUE
"PDZK1IP1",1.0208018887412,TRUE
"COL5A2",1.0204992148908,TRUE
"H2AC6",1.01974146902555,TRUE
"IL6ST",1.01820784714017,TRUE
"PERP",1.01494270433219,TRUE
"LUM",1.00926195733132,TRUE
"H2BC12L",1.00831374373932,TRUE
"LOC102724334",1.00831374373932,TRUE
"PRKAR2B",1.00771189710777,TRUE
"CSTA",1.00554784826832,TRUE
"KLK11",1.00453185585978,TRUE
"NUSAP1",1.00311113195255,TRUE
"KRT8",1.00219820662099,TRUE
"RHOBTB3",1.00206250151248,TRUE
"CKS2",1.00190755707242,TRUE
"HBA1",1.00085070867415,TRUE
"HBA2",1.00085070867415,TRUE
"IGKV2-28",1.00027571274712,TRUE
"IGKV2D-28",1.00027571274712,TRUE
"CRIM1",0.999330748650565,TRUE
"CTSK",0.998792194042453,TRUE
"ITGBL1",0.998230178841409,TRUE
"RETREG1",0.998192715229688,TRUE
"TAGLN",0.997476789407658,TRUE
"GPX3",0.9972015038751,TRUE
"PDGFRA",0.99643490558502,TRUE
"FZD6",0.995261103950936,TRUE
"NQO1",0.994820595327198,TRUE
"BCL2",0.993609778506885,TRUE
"NDP",0.9927765104851,TRUE
"PIEZO2",0.992324398512007,TRUE
"RBP1",0.991953266912158,TRUE
"KCTD12",0.991544246281054,TRUE
"DUSP4",0.989492637936085,TRUE
"INAVA",0.989233181013674,TRUE
"MYLK",0.987912350353664,TRUE
"LCN2",0.987401668442959,TRUE
"OLFM4",0.985177120591499,TRUE
"THBS4",0.983253505935431,TRUE
"ENPP1",0.981386701226384,TRUE
"MLPH",0.981175299427367,TRUE
"PLA2G2A",0.978673844032242,TRUE
"CCN2",0.978061981496134,TRUE
"ANXA3",0.977750987900619,TRUE
"SORD",0.976021885585754,TRUE
"DKK3",0.974694044130322,TRUE
"NLRP2",0.973481925026695,TRUE
"CCN1",0.971949172217305,TRUE
"KRT81",0.971395208299519,TRUE
"TUSC3",0.970209899673069,TRUE
"BCHE",0.967279486999861,TRUE
"ATF3",0.96394365018894,TRUE
"TFRC",0.96388104132467,TRUE
"CENPU",0.963321044952981,TRUE
"LAMB1",0.96266811905776,TRUE
"OPHN1",0.96228343815299,TRUE
"CDH3",0.961102188614643,TRUE
"RAI2",0.960975008831881,TRUE
"H2BC21",0.960189037839829,TRUE
"MXRA5",0.959412960840621,TRUE
"INHBB",0.95882652011452,TRUE
"NOVA1",0.956114757871807,TRUE
"SAA1",0.955940583865155,TRUE
"SAA2",0.955940583865155,TRUE
