"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-2.77270640089871,9.9560669573292,-12.9986796859388,8.16114355023352e-27,1.11244547733233e-22,49.676767022116,"ESR1"
-2.2851945138884,9.50411482133043,-8.74443281088445,2.96053217420285e-15,4.0355014066559e-12,24.0996177594545,"NAT1"
2.16529254577132,7.18308259471519,7.05130688905949,5.05711997412018e-11,1.35163926210259e-08,14.7282170743923,"S100A8"
-1.86324199024978,9.62576941801821,-5.67625487036009,6.32956788752024e-08,4.1680357427434e-06,7.90360436772204,"TFF1"
-1.82336423349282,9.55068958769245,-7.51578502919043,3.81352177250981e-12,1.85650411718147e-09,17.210836887939,"SCUBE2"
-1.79525146534475,9.91323785623583,-9.11706058710001,3.13230944119602e-16,1.06741274982358e-12,26.2618738715769,"CA12"
-1.74807605598243,10.1917398111825,-6.8820920004769,1.27130683965273e-10,2.7950296018236e-08,13.8436940594145,"AGR2"
-1.7010381139563,10.2796738647146,-9.76720819006669,5.84366056943831e-18,3.98274686110068e-14,30.0946066746252,"TBC1D9"
-1.65755550043993,6.35519982697558,-5.36120206171432,2.85045437849595e-07,1.41804903771089e-05,6.47169062246493,"NPY1R"
-1.55102265106713,7.95194917763533,-7.24584999498547,1.72904214259201e-11,6.41017254345611e-09,15.7586184911724,"DNAJC12"
-1.5508263368359,11.9073927152154,-9.3472349179017,7.71440512423036e-17,3.5051685416128e-13,27.6108231025761,"GATA3"
-1.52970964185272,9.37306540005337,-6.14188647202111,6.23193431903726e-09,6.15561570310122e-07,10.1160857021929,"TFF3"
1.52541022834196,6.30787454544749,6.81196224130511,1.85667620301492e-10,3.6154790461852e-08,13.4804375142294,"GABRP"
-1.48726976739869,7.44757845271708,-8.95486684439969,8.35645180366762e-16,1.6272399219399e-12,25.3172511677678,"DCPH1"
-1.42585707593772,7.15475535094158,-7.92188205974357,3.74988320846532e-13,2.69024515866267e-10,19.4408073826208,"ABAT"
1.39577003628885,7.21794463235091,7.62873881113593,2.01110774490717e-12,1.05436191041652e-09,17.8258497160444,"RARRES1"
-1.37339787430593,8.20983378648124,-5.15525528390131,7.4004458233315e-07,2.94097600635078e-05,5.56609115735031,"CYP2B6"
-1.37339787430593,8.20983378648124,-5.15525528390131,7.4004458233315e-07,2.94097600635078e-05,5.56609115735031,"CYP2B7P"
1.30859178701546,6.41699835974147,5.13704461224834,8.04247195568119e-07,3.1232745079171e-05,5.48721438080482,"PROM1"
-1.29571133162577,6.98145859757526,-5.1601757721097,7.2357055432849e-07,2.90943664485299e-05,5.58743741299182,"AGTR1"
-1.29146214767152,9.1134990819552,-9.06746840142888,4.23066946883372e-16,1.15336511059345e-12,25.972506309152,"FOXA1"
1.28350890443244,6.7422549814425,5.11477712544672,8.9013697781678e-07,3.38923383927948e-05,5.39103540284888,"S100A9"
-1.2786407610382,5.41240635956192,-5.09169471777371,9.8856347184982e-07,3.64192126615808e-05,5.29165058948936,"PDZK1"
-1.26319067621949,7.82919162271587,-3.91227804171242,0.00013498117047531,0.00183177650879972,0.672241255618447,"CPB1"
1.25241995861501,6.342310396223,3.3174907855318,0.0011247494325237,0.00967895171384507,-1.28050648175405,"S100A7"
-1.24866982724457,6.09791689374418,-7.08277862459017,4.25516622600866e-11,1.18371777197396e-08,14.8939481223605,"GFRA1"
-1.21527518099215,9.04916178866638,-6.49989052348388,9.7724564711989e-10,1.43234789418185e-07,11.888801261428,"CFB"
-1.17288658382877,8.5920381823116,-5.7831946313705,3.7527048666256e-08,2.75016774392331e-06,8.40189642478118,"STC2"
-1.16708200918801,8.60831517437652,-7.06165967769248,4.77808600446056e-11,1.30260180653604e-08,14.7826935633568,"MYB"
1.15678382969821,7.11620632057516,6.11346861996311,7.20096068828253e-09,6.96143937177157e-07,9.97794720389697,"MMP7"
1.15557185231113,8.02083544487493,6.38524305730806,1.77999090752215e-09,2.33298615965716e-07,11.3146996532794,"EGFR"
-1.1555698075296,10.8242158582384,-5.60488098114573,8.94245960029368e-08,5.49075075727942e-06,7.57442901715024,"SERPINA3"
-1.13741087300422,7.74379092455529,-6.92529621688979,1.00575916266716e-10,2.44812556184216e-08,14.0684638259397,"ERBB4"
-1.10694029647254,10.2351241678991,-5.79542625127446,3.53357328336593e-08,2.61772486008483e-06,8.45927393590397,"CRIP1"
-1.09261347886628,7.5716994299133,-8.13693843656241,1.07599415096817e-13,1.04763401941766e-10,20.6417737256943,"RETREG1"
1.09060933878483,6.72708369506199,5.31094096192273,3.60574105508378e-07,1.70068706996011e-05,6.24840581089289,"ID4"
-1.0881789887202,5.35112721868762,-3.75510584825031,0.000242304026852669,0.00290743502643375,0.129988850481946,"GRIA2"
-1.08110418953,6.82576679328477,-6.26198660953845,3.36923335287985e-09,3.82716831942544e-07,10.7041551812413,"DACH1"
-1.07228468561173,11.3529650072054,-7.23991029519498,1.7870043038026e-11,6.41017254345611e-09,15.7269523602593,"SLC39A6"
1.0622401551332,7.93685685970345,3.16256081356889,0.00187204381544265,0.0142049224387346,-1.74365540402992,"KRT14"
-1.05689650590027,9.84479683722977,-7.66308846677303,1.65412886242241e-12,9.01897220947194e-10,18.0136999768278,"IL6ST"
1.05068437249781,7.39543502120927,3.58491880362888,0.000447560956585705,0.00470733286976832,-0.436172623340471,"KRT15"
-1.04375206575986,10.7545455725072,-7.72620877068137,1.15396928176406e-12,6.94551700252536e-10,18.3598689687939,"MLPH"
1.02016220692772,7.99741112170854,4.17020767556939,4.97850930071503e-05,0.000824569383694369,1.60132771829805,"SFRP1"
1.01610764767881,5.90345603791698,5.0871782741025,1.00902261565513e-06,3.68739605200939e-05,5.27224186742097,"ELF5"
1.00761475396904,8.37608056842675,4.63045691189672,7.51743029184866e-06,0.000182656136021727,3.37491486891872,"SLPI"
0.999964608531655,7.4347081116403,5.21028853323801,5.748601321516e-07,2.41660746775543e-05,5.80565617039366,"KRT6B"
-0.992528350363809,8.83984887417347,-7.61598630892107,2.16222152728269e-12,1.0916015421626e-09,17.7562059085055,"EVL"
-0.991089267467325,10.6664082810357,-4.83614228586071,3.09112841779418e-06,8.98404508804957e-05,4.21310468349305,"C4A"
-0.991089267467325,10.6664082810357,-4.83614228586071,3.09112841779418e-06,8.98404508804957e-05,4.21310468349305,"C4B"
-0.991089267467325,10.6664082810357,-4.83614228586071,3.09112841779418e-06,8.98404508804957e-05,4.21310468349305,"C4B_2"
0.980991561703362,8.0173926740189,7.20590082846436,2.15780480952886e-11,7.35325933967199e-09,15.5458854406594,"CDH3"
-0.966411128902447,10.0523448329769,-3.87944969780265,0.000152745834890068,0.0019924195936713,0.557465067979145,"AZGP1"
-0.958398071309826,9.03900114930826,-4.68156579178077,6.04277416158681e-06,0.000153960849713252,3.58063731784401,"IGF1R"
-0.95549289205651,9.63172578186741,-8.78706753142755,2.29302224897245e-15,3.47290958619372e-12,24.3455572417476,"MAGED2"
0.954785243555442,5.82694675138358,4.39876414799694,1.98109773381716e-05,0.000393649317925099,2.46401991351285,"FABP7"
0.944124605125081,4.94646790450131,3.55065239638655,0.00050513533675735,0.00516498169295191,-0.547482055252094,"MMP1"
-0.921480741771171,7.48265783050797,-6.35803977513466,2.0503842183293e-09,2.61203619439688e-07,11.1793486157803,"SLC19A2"
-0.917214538210654,8.13315702873406,-6.46618422535319,1.16634440938098e-09,1.62228986166043e-07,11.7194057258112,"BCL2"
-0.915273239671537,7.49777775240959,-7.48481638039627,4.54145156412767e-12,2.13463883691808e-09,17.0429561280359,"CELSR1"
-0.914767376027452,5.92661295103733,-4.09818726320834,6.60766853268727e-05,0.00103408874591344,1.33708324550787,"GREB1"
0.914435719737021,7.48772641492684,4.95396449507477,1.83633985396926e-06,6.01710301669592e-05,4.70535469827692,"CHI3L1"
-0.901103055600453,11.8944580818027,-7.41494807255108,6.72733795504564e-12,2.86563573953835e-09,16.6653924300251,"XBP1"
0.89336764311961,8.55038176526249,5.36458553030584,2.80556461231909e-07,1.40082971540372e-05,6.48677369078476,"NFIB"
0.886578057878398,8.27774867363666,3.86199523363212,0.000163074175874421,0.00209112332205478,0.49676425321702,"KRT7"
-0.879549510157921,6.71164887371754,-3.70466270049522,0.000291267655080263,0.00337128158437016,-0.0401187390123896,"TOX3"
-0.868518539235808,8.67977199383207,-5.06472823035599,1.11697971341232e-06,3.99620747336571e-05,5.17594903388436,"MRPS30"
0.867089288722137,7.45167187662288,6.41967699161634,1.48754149207927e-09,2.00759188896362e-07,11.4865090146767,"ADM"
0.866416831252483,8.14171120352405,7.68047010402892,1.49817559244498e-12,8.5090131252573e-10,18.1088998267869,"LMO4"
-0.864931876432427,7.44706508815261,-4.08222246806062,7.03225452376899e-05,0.00108190362769182,1.27900936533883,"C8orf44-SGK3"
-0.864931876432427,7.44706508815261,-4.08222246806062,7.03225452376899e-05,0.00108190362769182,1.27900936533883,"SGK3"
-0.860242472519156,7.8473251467655,-5.55716217668983,1.12498092893518e-07,6.58137984648734e-06,7.35589142957047,"SLC44A4"
-0.859663210021566,6.60558869694552,-5.35050023808523,2.99709738302042e-07,1.46954800100544e-05,6.42402635250066,"BMPR1B"
0.855797051203217,8.83364763726478,4.11436583791075,6.20244066629809e-05,0.000984231300608955,1.39612090328369,"KRT17"
0.847466975523044,6.47280098432343,7.79592866026535,7.74171512248519e-13,5.27636594172978e-10,18.7436798139673,"MID1"
-0.844942355024409,6.15448919681638,-5.23314345588329,5.173504036199e-07,2.21761111690027e-05,5.9056710725409,"SLC16A6"
-0.843638102825279,8.82370908694284,-5.40973869359228,2.26859446066016e-07,1.18027523256712e-05,6.68868459678522,"GALNT7"
-0.842045693723785,8.53024680323483,-7.28876300348274,1.36201844078707e-11,5.30447810467674e-09,15.9877768284385,"SIAH2"
-0.84185887922948,6.6639306136256,-3.7716122151859,0.000228051734477209,0.0027779921292751,0.186069505145904,"EEF1A2"
-0.8393040871891,6.77529146881307,-5.9786062372056,1.42222732128346e-08,1.23480131314744e-06,9.32776814021758,"CHAD"
0.838075544244807,7.96895405506482,5.68783686836599,5.9828793922145e-08,3.9781770241598e-06,7.95727846768456,"CRYAB"
0.835906296684946,8.19091082844319,6.81900179196488,1.78757381735019e-10,3.53136502960875e-08,13.5168109445111,"UBE2E3"
-0.832638688725538,11.0820254473752,-6.82739566381224,1.7084859431265e-10,3.42476057217019e-08,13.5602085091715,"RHOB"
-0.82968581357866,7.20269012614025,-6.30648310369728,2.67816615042121e-09,3.17444198229491e-07,10.9237568629567,"CLSTN2"
0.82773915627816,5.07520940712315,4.54405715442878,1.08330950296831e-05,0.000242701283812789,3.03104394607971,"EN1"
0.826560653693739,5.41317294159393,3.75775386425468,0.000239962176518289,0.00289206403901044,0.138971721359375,"CALML5"
-0.825555762788731,9.04918037626041,-4.68232354239247,6.02316816433754e-06,0.000153748698966451,3.58370021036013,"SCNN1A"
-0.809397698635534,6.93226556506087,-5.67672344257006,6.31516819628239e-08,4.1680357427434e-06,7.90577446596536,"NOVA1"
0.807894585665762,8.45822944157451,5.06510519438638,1.1150776372896e-06,3.99620747336571e-05,5.17756339337968,"ASS1"
0.804193290681373,5.79332859835092,4.51209373266227,1.23860433203849e-05,0.000268416782989137,2.90508486677049,"MMP12"
0.802535972546036,8.28989524267439,6.58025538826138,6.39693265209735e-10,1.01391382535743e-07,12.2947022113254,"FAT1"
